ticker,exchange,name,product_type,size,price_tick,long_margin_rate,short_margin_rate,max_market_order_volume,min_market_order_volume,max_limit_order_volume,min_limit_order_volume,delivery_year,delivery_month
fu2006,SHFE,燃料油2006,Futures,10,1.0,0.2,0.2,30,1,500,1,2020,6
sc2109,INE,原油2109,Futures,1000,0.1,0.05,0.05,30,1,500,1,2021,9
sc2106,INE,原油2106,Futures,1000,0.1,0.05,0.05,30,1,500,1,2021,6
sc2006,INE,原油2006,Futures,1000,0.1,0.05,0.05,30,1,500,1,2020,6
CF007,CZCE,棉花007,Futures,5,5.0,0.05,0.05,200,1,1000,1,2020,7
TA007,CZCE,化纤007,Futures,5,2.0,0.05,0.05,200,1,1000,1,2020,7
ag2103,SHFE,白银2103,Futures,15,1.0,0.08,0.08,30,1,500,1,2021,3
al2103,SHFE,铝2103,Futures,5,5.0,0.1,0.1,30,1,500,1,2021,3
au2104,SHFE,黄金2104,Futures,1000,0.02,0.08,0.08,30,1,500,1,2021,4
bu2203,SHFE,沥青2203,Futures,10,2.0,0.1,0.1,30,1,500,1,2022,3
cu2103,SHFE,铜2103,Futures,5,10.0,0.09,0.09,30,1,500,1,2021,3
hc2103,SHFE,热轧板2103,Futures,10,1.0,0.1,0.1,30,1,500,1,2021,3
ni2103,SHFE,镍2103,Futures,1,10.0,0.1,0.1,30,1,500,1,2021,3
pb2103,SHFE,铅2103,Futures,5,5.0,0.1,0.1,30,1,500,1,2021,3
rb2103,SHFE,螺纹钢2103,Futures,10,1.0,0.1,0.1,30,1,500,1,2021,3
ru2103,SHFE,天然橡胶2103,Futures,10,5.0,0.1,0.1,30,1,500,1,2021,3
sn2103,SHFE,锡2103,Futures,1,10.0,0.09,0.09,30,1,500,1,2021,3
sp2103,SHFE,漂针浆2103,Futures,10,2.0,0.07,0.07,30,1,500,1,2021,3
wr2103,SHFE,线材2103,Futures,10,1.0,0.2,0.2,30,1,500,1,2021,3
zn2103,SHFE,锌2103,Futures,5,5.0,0.1,0.1,30,1,500,1,2021,3
PM103,CZCE,普通小麦103,Futures,50,1.0,0.05,0.05,200,1,1000,1,2021,3
RI103,CZCE,早籼稻103,Futures,20,1.0,0.05,0.05,200,1,1000,1,2021,3
RM103,CZCE,菜籽粕103,Futures,10,1.0,0.05,0.05,200,1,1000,1,2021,3
SF103,CZCE,硅铁103,Futures,5,2.0,0.05,0.05,200,1,1000,1,2021,3
SM103,CZCE,锰硅103,Futures,5,2.0,0.05,0.05,200,1,1000,1,2021,3
